form_id,label,label_length,is_common
admittance,locatie,7,False
admittance,hok / stal,10,False
admittance,vrije tekst,11,False
admittance,einddatum,9,False
admittance,datumeinddatumhok / stallocatievrije tekst,42,False
admittance,datum,5,True
attachment,Alle bijlagen zullen dezelfde categorie en beschrijving hebben,62,False
attachment,beschrijving,12,False
attachment,datumcategoriebijlagenbeschrijvingAlle bijlagen zullen dezelfde categorie en beschrijving hebben,96,False
attachment,categorie,9,False
attachment,datum,5,True
attachment,bijlagen,8,False
client_order,toeslag inc,11,False
client_order,korting%,8,False
client_order,totaal inc,10,False
client_order,prijs inc,9,False
client_order,korting %:,10,False
client_order,datummedewerkerafleverlocatieopmerkingenclient gebeldLijst met klantorders bekijkenkorting %:,93,False
client_order,afdruk etiket adres 1,21,False
client_order,afgerond,8,False
client_order,opmerkingen,11,False
client_order,afleverlocatie,14,False
client_order,Lijst met klantorders bekijken,30,False
client_order,naam,4,False
client_order,besteld,7,False
client_order,medewerker,10,False
client_order,datum,5,True
client_order,client gebeld,13,False
custom_5804de7bd15de7303fcc5c32,Andere reden,12,False
custom_5804de7bd15de7303fcc5c32,Onderbouwing derde keuze antibioticum,37,False
custom_5804de7bd15de7303fcc5c32,Indicatie / Diagnose:,21,False
custom_5804de7bd15de7303fcc5c32,Dierenarts,10,True
custom_5804de7bd15de7303fcc5c32,Uitslag antibiogram,19,False
custom_5804de7bd15de7303fcc5c32,Datum,5,True
custom_5e8599a7ee8ef226a932f53d,Indicatie / Diagnose,20,False
custom_5e8599a7ee8ef226a932f53d,Andere reden:,13,False
custom_5e8599a7ee8ef226a932f53d,Dierenarts,10,True
custom_5e8599a7ee8ef226a932f53d,Onderbouwing,12,False
custom_5e8599a7ee8ef226a932f53d,Datum,5,True
custom_5ebba5afee8ef20da1f9d22b,Indicatie / Diagnose,20,False
custom_5ebba5afee8ef20da1f9d22b,Andere reden,12,False
custom_5ebba5afee8ef20da1f9d22b,Dierenarts,10,True
custom_5ebba5afee8ef20da1f9d22b,Onderbouwing,12,False
custom_5ebba5afee8ef20da1f9d22b,Datum,5,True
custom_5ed0ffdfee8ef2535c29d1e8,Gedrag:,7,False
custom_5ed0ffdfee8ef2535c29d1e8,Herhalingsrecept:,17,False
custom_5ed0ffdfee8ef2535c29d1e8,Laatste aanpassing op:,22,False
custom_5ed0ffdfee8ef2535c29d1e8,Chipregistratie:,16,False
custom_5ed0ffdfee8ef2535c29d1e8,Buitenlandanamnese:,19,False
custom_5ed0ffdfee8ef2535c29d1e8,Te bespreken bij volgende bezoek!,33,False
custom_5ed0ffdfee8ef2535c29d1e8,Streefgewicht:,14,False
custom_5ed0ffdfee8ef2535c29d1e8,Vaste arts:,11,False
custom_5ed0ffdfee8ef2535c29d1e8,Voeding:,8,False
custom_5ed0ffdfee8ef2535c29d1e8,"Zorgplan, gemaakte afspraken (incl. datum en initialen):",56,False
custom_5ed0ffdfee8ef2535c29d1e8,Opmerkingen algemeen:,21,False
custom_5ed0ffdfee8ef2535c29d1e8,Door:,5,False
custom_5ed0ffdfee8ef2535c29d1e8,Overgevoelig voor:,18,False
custom_5ed0ffdfee8ef2535c29d1e8,Kat >7jr: bloeddrukmeting besproken / gemeten (incl. datum),59,False
custom_5ed0ffdfee8ef2535c29d1e8,Chronische aandoening:,22,False
custom_5ff5aa3d61394959805b7e9d,Datum toediening:,17,False
custom_5ff5aa3d61394959805b7e9d,RoodGroen,9,False
custom_5ff5aa3d61394959805b7e9d,Bevindingen:,12,False
custom_5ff5aa3d61394959805b7e9d,Controle door:,14,False
custom_5ff5aa3d61394959805b7e9d,text,4,False
custom_5ff5aa3d61394959805b7e9d,Toegediend door:,16,False
custom_5ff5aa3d61394959805b7e9d,Toegediend middel:,18,False
custom_5ff5aa3d61394959805b7e9d,Datum controle:,15,False
custom_606dbe4261394952775a7fa6,Let op!,7,False
custom_606dbe4261394952775a7fa6,datum,5,True
custom_606dbe4261394952775a7fa6,datumLet op!,12,False
custom_6076c9316139494931b38e04,LET OP:,7,False
custom_60a4c1d16139492b541fb3ed,Heeft dier DZP?,15,False
custom_60a4c1d16139492b541fb3ed,Cremeren/begraven/etc.,22,False
custom_60a4c1d16139492b541fb3ed,Vervoer,7,False
custom_60a4c1d16139492b541fb3ed,Keuze uitvaartzorg,18,False
custom_60a4c1d16139492b541fb3ed,Klant geattendeerd op afmelden chip?,36,False
custom_60a4c1d16139492b541fb3ed,Klant geattendeerd op afmelden hondenbelasting?,47,False
custom_60a4c1d16139492b541fb3ed,JaNeen.v.t.,11,False
custom_60a4c1d16139492b541fb3ed,DZP afgemeld?,13,False
custom_60a4c1d16139492b541fb3ed,JaNeeN.v.t. (geen zorgplan),27,False
custom_60a4c1d16139492b541fb3ed,Klant geattendeerd op afmelden verzekering?,43,False
custom_61eac886758b130180224c44,Omschrijving:,13,False
custom_61eac886758b130180224c44,Evaluatie:,10,False
custom_61eac886758b130180224c44,Scores:,7,False
custom_61eac886758b130180224c44,Doelstelling:,13,False
custom_61f2a2e5758b1312eb3f4814,Indicatie / Diagnose,20,False
custom_61f2a2e5758b1312eb3f4814,Andere reden,12,False
custom_61f2a2e5758b1312eb3f4814,Dierenarts,10,True
custom_61f2a2e5758b1312eb3f4814,Onderbouwing,12,False
custom_61f2a2e5758b1312eb3f4814,Datum,5,True
custom_61fb9d19758b13075c2befec,Chipnummer,10,False
custom_61fb9d19758b13075c2befec,Naam product,12,False
custom_61fb9d19758b13075c2befec,Doseringsschema,15,False
custom_61fb9d19758b13075c2befec,Werkzame stof(fen),18,False
custom_61fb9d19758b13075c2befec,Naam patient,12,False
custom_61fb9d19758b13075c2befec,Adres eigenaar,14,False
custom_61fb9d19758b13075c2befec,Naam eigenaar,13,False
custom_61fb9d19758b13075c2befec,Famaceutische form,18,False
custom_61fb9d19758b13075c2befec,Sterkte,7,False
custom_61fb9d19758b13075c2befec,Handtekening dierenarts,23,False
custom_61fb9d19758b13075c2befec,CIBG,4,False
custom_61fb9d19758b13075c2befec,Contact gegevens kliniek,24,False
custom_61fb9d19758b13075c2befec,Datum beoordeling dierenarts,28,False
custom_61fb9d19758b13075c2befec,Telefoonnummer eigenaar,23,False
custom_61fb9d19758b13075c2befec,Dierenarts,10,True
custom_61fb9d19758b13075c2befec,Waarschuwing bij gebruik,24,False
custom_61fb9d21758b13075c2befee,Chipnummer,10,False
custom_61fb9d21758b13075c2befee,Naam product,12,False
custom_61fb9d21758b13075c2befee,Doseringsschema,15,False
custom_61fb9d21758b13075c2befee,Werkzame stof(fen),18,False
custom_61fb9d21758b13075c2befee,Naam patient,12,False
custom_61fb9d21758b13075c2befee,Adres eigenaar,14,False
custom_61fb9d21758b13075c2befee,Naam eigenaar,13,False
custom_61fb9d21758b13075c2befee,Famaceutische form,18,False
custom_61fb9d21758b13075c2befee,Sterkte,7,False
custom_61fb9d21758b13075c2befee,Handtekening dierenarts,23,False
custom_61fb9d21758b13075c2befee,CIBG,4,False
custom_61fb9d21758b13075c2befee,Contact gegevens kliniek,24,False
custom_61fb9d21758b13075c2befee,Datum beoordeling dierenarts,28,False
custom_61fb9d21758b13075c2befee,Telefoonnummer eigenaar,23,False
custom_61fb9d21758b13075c2befee,Dierenarts,10,True
custom_61fb9d21758b13075c2befee,Waarschuwing bij gebruik,24,False
custom_61fb9d21758b13075c2befee,Wachttijd,9,False
custom_61fbdb77758b13075c2bf934,1 seconde1-2 seconden> 2 seconden,33,False
custom_61fbdb77758b13075c2bf934,Buikpalpatie,12,False
custom_61fbdb77758b13075c2bf934,Schildklierpalpatie (kat),25,False
custom_61fbdb77758b13075c2bf934,Pols:,5,False
custom_61fbdb77758b13075c2bf934,Kleur slijmvliezen,18,False
custom_61fbdb77758b13075c2bf934,Temperatuur,11,True
custom_61fbdb77758b13075c2bf934,Hartfrequentie per minuut,25,False
custom_61fbdb77758b13075c2bf934,Auscultatie hart en longen,26,False
custom_61fbdb77758b13075c2bf934,Geen afwijkingenAfwijkingen,27,False
custom_61fbdb77758b13075c2bf934,Rectaal onderzoek,17,False
custom_61fbdb77758b13075c2bf934,BCS (uit 9),11,False
custom_61fbdb77758b13075c2bf934,Indien opgezet welke?,21,False
custom_61fbdb77758b13075c2bf934,LichtrozeRozeBleekGeel,22,False
custom_61fbdb77758b13075c2bf934,Vochtigheid slijmvliezen,24,False
custom_61fbdb77758b13075c2bf934,KrachtigRegelmatigZwakOnregelmatig,34,False
custom_61fbdb77758b13075c2bf934,C.R.T.,6,False
custom_61fbdb77758b13075c2bf934,Perifere lymfeknopen,20,False
custom_61fbdb77758b13075c2bf934,Geen afwijkingenAfwijkingen hartAfwijkingen longenAfwijkingen hart en longen,76,False
custom_61fbdb77758b13075c2bf934,PlakkerigVochtigDroog,21,False
custom_61fbdb77758b13075c2bf934,Ademhalingsfrequentie per minuut,32,False
custom_61fbdb77758b13075c2bf934,Niet opgezetOpgezet,19,False
custom_61fbdb77758b13075c2bf934,"Indien afwijkingen, welke?",26,False
custom_61fbdb77758b13075c2bf934,"Indien er afwijkingen zijn, welke?",34,False
custom_620bb4a9758b1303c0d464ae,Heeft het dier een andere medische voorgeschiedenis?,52,False
custom_620bb4a9758b1303c0d464ae,Wanneer zijn de klachten begonnen?,34,False
custom_620bb4a9758b1303c0d464ae,Wordt het dier op de correcte momenten gevaccineerd en ontwormd?,64,False
custom_620bb4a9758b1303c0d464ae,Heeft het dier deze klachten ooit eerder gehad?,47,False
custom_620bb4a9758b1303c0d464ae,"Zo ja, welke medische voorgeschiedenis heeft het dier?",54,False
custom_620bb4a9758b1303c0d464ae,"JaNee, geleidelijk",18,False
custom_620bb4a9758b1303c0d464ae,"Zo ja, welke medicatie en hoe lang krijgt het dier deze medicatie al?",69,False
custom_620bb4a9758b1303c0d464ae,Welke voeding krijgt het dier?,30,False
custom_620bb4a9758b1303c0d464ae,Zijn de klachten plotseling ontstaan?,37,False
custom_620bb4a9758b1303c0d464ae,"Is het dier ooit mee geweest in het buitenland? Zo ja, waar?",60,False
custom_620bb4a9758b1303c0d464ae,Is er recent van voeding veranderd?,35,False
custom_620bb4a9758b1303c0d464ae,Kan het dier iets giftigs of een vreemd voorwerp hebben opgegeten?,66,False
custom_620bb4a9758b1303c0d464ae,Heeft iets aanleiding gegeven tot ontstaan van de klachten?,59,False
custom_620bb4a9758b1303c0d464ae,Wat zijn de klachten?,21,False
custom_620bb4a9758b1303c0d464ae,Wordt het dier wel eens gebeten door een teken?,47,False
custom_620bb4a9758b1303c0d464ae,Wordt het dier momenteel behandeld met medicatie?,49,False
custom_620bb4a9758b1303c0d464ae,Wanneer was de laatste ontworming?,34,False
custom_620bb4a9758b1303c0d464ae,"Zo ja, wat heeft aanleiding gegeven tot ontstaan van deze klachten?",67,False
custom_620bc591758b1303c0d466a4,Hoe vaak braakt het dier?,25,False
custom_620bc591758b1303c0d466a4,Is dit gerelateerd aan voeding?,31,False
custom_620bc591758b1303c0d466a4,Braken of regurgiteren?,23,False
custom_620bc591758b1303c0d466a4,Overige informatie,18,False
custom_620bc591758b1303c0d466a4,Wat komt er bij het braken naar buiten?,39,False
custom_620bc591758b1303c0d466a4,Kan het dier iets opgegeten hebben?,35,False
custom_620bc80e758b1303c0d466b8,Zit er vers bloed of slijm bij de ontlasting?,45,False
custom_620bc80e758b1303c0d466b8,Consistentie van de ontlasting,30,False
custom_620bc80e758b1303c0d466b8,Heeft het dier vaker ontlasting dan normaal?,44,False
custom_620bc80e758b1303c0d466b8,Overige informatie,18,False
custom_620bc80e758b1303c0d466b8,Vers bloedSlijmGeen van beide,29,False
custom_620bc80e758b1303c0d466b8,Perst het dier op de ontlasting?,32,False
custom_620bc80e758b1303c0d466b8,Kleur van de ontlasting,23,False
custom_620bc80e758b1303c0d466b8,Zijn het grote of kleine hoeveelheden ontlasting?,49,False
custom_620bc9e9758b1303c0d466dd,Anders:,7,False
custom_620bc9e9758b1303c0d466dd,Hoe vaak hoest het dier?,24,False
custom_620bc9e9758b1303c0d466dd,Is de hoest productief?,23,False
custom_620bc9e9758b1303c0d466dd,Overige informatie,18,False
custom_620bc9e9758b1303c0d466dd,Hoe klinkt het hoesten?,23,False
custom_620bc9e9758b1303c0d466dd,Is de hoest geassocieerd met inspanning of bepaalde activiteiten?,65,False
custom_620bc9e9758b1303c0d466dd,"Zo ja, wat komt er mee naar buiten?",35,False
custom_620caa28758b1366f52ee7ab,Verliest het dier urine of ontlasting tijdens de aanval?,56,False
custom_620caa28758b1366f52ee7ab,Verliest het dier zijn bewustzijn?,34,False
custom_620caa28758b1366f52ee7ab,NeeBlaffenhuilenMiauwenAnders:,30,False
custom_620caa28758b1366f52ee7ab,Wordt het dier stijf of maakt het fietsbewegingen?,50,False
custom_620caa28758b1366f52ee7ab,Overige informatie,18,False
custom_620caa28758b1366f52ee7ab,Reageert het dier als je zijn/haar naam roept?,46,False
custom_620caa28758b1366f52ee7ab,Begint het dier te speekselen tijdens de aanval?,48,False
custom_620caa28758b1366f52ee7ab,Namelijk:,9,False
custom_620caa28758b1366f52ee7ab,Maakt het dier geluid tijdens de aanval?,40,False
custom_620caa28758b1366f52ee7ab,Worden de slijmvliezen blauw van kleur?,39,False
custom_620caa28758b1366f52ee7ab,Hoeveel aanvallen heeft het dier reeds gehad?,45,False
custom_620caa28758b1366f52ee7ab,Hoe lang duren de aanvallen ongeveer?,37,False
custom_620cac83758b1366f52ee7c0,Wanneer heeft het dier het opgegeten?,37,False
custom_620cac83758b1366f52ee7c0,Hoeveel heeft het dier ongeveer opgegeten?,42,False
custom_620cac83758b1366f52ee7c0,Overige informatie,18,False
custom_620cac83758b1366f52ee7c0,Wat heeft het dier exact opgegeten?,35,False
custom_620cac83758b1366f52ee7c0,Heeft u het dier al iets gegeven om het te doen braken?,55,False
custom_620cad9a758b1366f52ee7d0,Wanneer heeft u het dier voor het laatst zien plassen?,54,False
custom_620cad9a758b1366f52ee7d0,Heeft u bloed bij de urine gezien?,34,False
custom_620cad9a758b1366f52ee7d0,Is het de eerste keer dat het dier deze klachten vertoont?,58,False
custom_620cad9a758b1366f52ee7d0,"Wanneer het dier probeert te plassen, komt er dan urine naar buiten of helemaal niet?",85,False
custom_620cad9a758b1366f52ee7d0,Overige informatie,18,False
custom_620cad9a758b1366f52ee7d0,Hoe lang plast het dier al moeilijk?,36,False
custom_623b3dd6758b13581c888082,Glucose-waarde in mmol/l,24,False
custom_623b3dd6758b13581c888082,ToegenomenVerminderdHetzelfde als de vorige controle,52,False
custom_623b3dd6758b13581c888082,ToegenomenAfgenomenHetzelfde als de vorige controle,51,False
